state,year,ui_first_payments_total,ui_pct_within_21_days,ui_avg_days_to_first_payment_approx
Idaho,2025,49007,96.7269981839329,8.409757789703512
Idaho,2026,28696,91.41343741287984,9.55614022860329
Illinois,2020,2403329,90.82847167408208,11.975841842710674
Illinois,2021,797181,87.99933766610091,12.428504317087336
Illinois,2022,406060,87.10560015761217,12.427970004432842
Illinois,2023,479001,90.78331778012989,10.973720305385584
Illinois,2024,494753,93.08139617142291,9.760215703593511
Illinois,2025,523265,94.41697801305266,9.284036769132275
Illinois,2026,291326,94.90913958932606,9.110187556208508
Indiana,2020,1059399,84.40908477353669,13.11272098614403
Indiana,2021,201511,82.8728952761884,13.017053659601709
Indiana,2022,98098,88.3453281412465,11.064369304165222
Indiana,2023,107158,89.99701375538925,11.042969260344538
Indiana,2024,102313,90.85160243566311,10.49880758065935
Indiana,2025,86035,93.1423257976405,9.685883652002092
Indiana,2026,55257,87.89112691604683,11.156197404853684
Iowa,2020,567826,85.17697322771413,12.313615438532226
Iowa,2021,132505,77.12765556016754,14.601592392739896
Iowa,2022,93852,83.18948983505946,12.4771395388484
Iowa,2023,101480,82.51281040599133,12.651778675601104
Iowa,2024,124070,84.32175384863385,12.475880551301685
Iowa,2025,107709,88.04278194022783,11.663310401173533
Iowa,2026,57840,91.62171507607192,10.755186721991702
Kansas,2020,614828,89.94011333250926,10.576492937862296
Kansas,2021,168626,92.2141306797291,10.358358141686335
Kansas,2022,43160,90.24096385542168,10.089828544949027
Kansas,2023,43011,90.21180628211388,10.064820627281392
Kansas,2024,52314,89.71976908666896,10.369298849256413
Kansas,2025,48217,81.80724640686896,12.967926250077774
Kansas,2026,32169,92.57670428051851,9.743899406260686
Kentucky,2020,698823,89.35481516778927,12.203125827283875
Kentucky,2021,83005,87.06945364737064,11.861472200469851
Kentucky,2022,49262,86.06836912833421,11.166223458243676
Kentucky,2023,48280,85.4618889809445,11.94446975973488
Kentucky,2024,45080,89.68500443655724,11.061157941437445
Kentucky,2025,62626,83.78149650304985,11.873966084373903
Kentucky,2026,41266,85.25178112732031,11.26461251393399
Louisiana,2020,879432,96.11772143838296,8.65003377179816
Louisiana,2021,156946,75.58714462299135,14.490066647127037
Louisiana,2022,48249,86.72304089203922,11.14390971833613
Louisiana,2023,56114,83.7616281141961,12.416304309085076
Louisiana,2024,53787,85.52810158588507,12.050430401398108
Louisiana,2025,52056,85.6519901644383,11.653738281850314
Louisiana,2026,28094,87.48843169360005,11.141257919840536
Maine,2020,257223,84.3260517138825,13.080995867399105
Maine,2021,54363,85.77157257693652,11.590429152180711
Maine,2022,31174,92.10560082119716,9.746840315647654
Maine,2023,36319,92.47225969878026,9.660274236625458
Maine,2024,37572,93.7267113808155,9.429788140104334
Maine,2025,29078,92.77116720544741,9.556812710640347
Maine,2026,7118,97.8505198089351,8.068066872717056
Maryland,2020,599157,81.6150024117218,13.489055456249364
Maryland,2021,145243,84.34898755878079,10.776670820624746
