state,year,month,ui_first_payments_total,ui_pct_within_21_days,ui_avg_days_to_first_payment_approx
South Carolina,2020,7,52195,82.42168790113995,13.992259794999521
South Carolina,2020,8,19248,70.58915211970074,16.27530133000831
South Carolina,2020,9,12438,71.36999517607332,17.295505708313232
South Carolina,2020,10,7765,73.61236316806182,15.99671603348358
South Carolina,2020,11,8107,76.48945355865303,15.224559023066485
South Carolina,2020,12,11515,81.37212331741208,13.900738167607468
South Carolina,2021,1,10108,81.21290067273446,12.568114364859516
South Carolina,2021,2,10623,69.34952461639838,17.785936176221405
South Carolina,2021,3,10555,75.74609189957367,16.04163903363335
South Carolina,2021,4,13065,84.24033677765021,11.3849598163031
South Carolina,2021,5,13119,71.285921183017,16.351665523286837
South Carolina,2021,6,7390,76.45466847090663,17.5117050067659
South Carolina,2021,7,7261,86.2553367304779,12.407244181242254
South Carolina,2021,8,5035,79.68222442899702,14.141906653426018
South Carolina,2021,9,5450,81.94495412844036,13.87880733944954
South Carolina,2021,10,4572,83.57392825896764,12.35148731408574
South Carolina,2021,11,4173,88.44955667385574,10.587706685837526
South Carolina,2021,12,4357,88.22584347027771,10.47750745926096
South Carolina,2022,1,9510,92.8391167192429,9.925184016824396
South Carolina,2022,2,4957,85.59612668952997,11.770627395602178
South Carolina,2022,3,3982,89.62832747363134,10.909969864389755
South Carolina,2022,4,4448,94.60431654676259,8.95357464028777
South Carolina,2022,5,4913,93.3238347242011,9.353348259719112
South Carolina,2022,6,6208,94.70038659793815,8.983005798969073
South Carolina,2022,7,6461,93.56136820925553,9.249496981891348
South Carolina,2022,8,5943,90.5771495877503,10.04055190980986
South Carolina,2022,9,4299,91.48639218422889,10.024889509188183
South Carolina,2022,10,4654,94.6067898581865,9.110335195530727
South Carolina,2022,11,5248,94.26448170731707,9.194264481707316
South Carolina,2022,12,5815,92.38177128116939,9.539896818572657
South Carolina,2023,1,10972,92.39883339409405,9.447183740430185
South Carolina,2023,2,6142,92.64083360468902,9.625610550309345
South Carolina,2023,3,5553,94.0032414910859,9.383666486583829
South Carolina,2023,4,6154,96.11634709132272,8.700926226844329
South Carolina,2023,5,6206,96.11666129552047,8.683129229777634
South Carolina,2023,6,8836,96.831145314622,8.476233589859666
South Carolina,2023,7,8936,95.04252461951657,8.60088406445837
South Carolina,2023,8,6135,96.23471882640587,8.650611246943765
South Carolina,2023,9,5538,96.85807150595883,8.45467677862044
South Carolina,2023,10,5735,97.43679163034001,8.19738448125545
South Carolina,2023,11,6118,97.40111147433802,8.428162798300098
South Carolina,2023,12,5777,96.78033581443655,8.455167041717154
South Carolina,2024,1,10541,95.02893463618253,8.791101413528128
South Carolina,2024,2,6113,95.6649762800589,8.736790446589236
South Carolina,2024,3,5338,96.36568002997377,8.529692768827276
South Carolina,2024,4,5988,97.34468937875751,8.264612558450233
South Carolina,2024,5,5900,97.27118644067797,8.407203389830508
South Carolina,2024,6,7600,97.85526315789474,8.180394736842105
South Carolina,2024,7,9629,95.94973517499221,8.666372416658012
South Carolina,2024,8,6234,96.75970484440167,8.604908565928778
South Carolina,2024,9,5628,97.29921819474058,8.41453447050462
South Carolina,2024,10,5627,94.59747645281678,9.148924826728274
South Carolina,2024,11,4842,95.20859149111938,9.215406856670798
South Carolina,2024,12,6610,95.79425113464448,8.83161875945537
South Carolina,2025,1,11341,96.55233224583371,8.685565646768362
South Carolina,2025,2,6037,95.16316051018718,9.13475236044393
South Carolina,2025,3,5773,95.84271609215313,8.891737398233154
South Carolina,2025,4,7048,97.09137343927355,8.621098183881953
South Carolina,2025,5,6513,95.34776600644864,9.117918010133579
South Carolina,2025,6,9248,97.16695501730104,8.411386245674741
South Carolina,2025,7,7742,95.19504004133299,9.204210798243349
South Carolina,2025,8,5875,95.42127659574469,9.20731914893617
South Carolina,2025,9,5735,96.04184829991281,8.914821272885789
South Carolina,2025,10,6192,95.04198966408268,9.38703165374677
South Carolina,2025,11,5681,95.7049815173385,9.00052807604295
South Carolina,2025,12,6919,95.66411331117214,9.105000722647782
South Carolina,2026,1,8955,95.74539363484087,8.960469011725293
South Carolina,2026,2,5998,96.43214404801601,8.713487829276426
South Carolina,2026,3,5408,95.91346153846155,8.89007026627219
South Carolina,2026,4,6544,96.92848410757946,8.54874694376528
